x-axis,y-axis,z-axis,xg-axis,yg-axis,zg-axis,activity
0.1064,-0.0259,0.068,2.7439,13.9634,2.9878,1
0.1079,-0.0263,0.068,2.1951,12.3171,3.1098,1
0.1078,-0.0245,0.0687,1.0976,17.561,4.5122,1
0.0982,-0.0242,0.0637,2.0732,27.9878,6.5854,1
0.0909,-0.028999999999999998,0.0803,3.3537,35.7317,4.939,1
0.1003,-0.025,0.0804,1.7073,34.3902,2.7439,1
0.1092,-0.0239,0.0832,-1.9512,19.5732,4.0244,1
0.1015,-0.0249,0.0787,-4.0854,13.9634,4.5732,1
0.1036,-0.0329,0.066,-5.5488,16.6463,1.6463,1
0.1026,-0.0383,0.0592,-7.561,18.1707,2.439,1
0.1014,-0.040999999999999995,0.0679,-5.122000000000001,24.0854,4.2073,1
0.1071,-0.0348,0.0771,-1.7683,31.4634,4.5122,1
0.106,-0.0274,0.08199999999999999,0.6098,34.2073,4.878,1
0.0999,-0.0279,0.0817,2.0122,37.5,2.6829,1
0.1003,-0.0311,0.0786,0.4268,36.4024,1.2195,1
0.0992,-0.033,0.0771,-1.9512,28.2927,2.9878,1
0.096,-0.0347,0.0759,-2.8659,23.1707,2.7439,1
0.096,-0.0339,0.0757,-4.0854,23.7805,1.7073,1
0.0923,-0.0317,0.0754,-5.061,23.5366,4.0244,1
0.09699999999999999,-0.0303,0.0779,-4.878,21.3415,3.7805,1
0.1061,-0.0281,0.0779,-5.1829,18.9634,3.2317,1
0.1064,-0.0284,0.0731,-4.939,21.0366,5.6707,1
0.10099999999999999,-0.0302,0.0737,-2.0732,29.1463,6.1585,1
0.0963,-0.0292,0.0815,0.7927,33.2927,6.1585,1
0.0964,-0.0267,0.084,1.4634,32.0732,6.5854,1
0.0922,-0.0254,0.0834,2.0122,31.0976,7.1341,1
0.0832,-0.0278,0.0831,2.5,31.0366,6.5854,1
0.0868,-0.0298,0.09,2.1341,29.6951,4.5732,1
0.0942,-0.0258,0.0874,0.8537,25.3659,3.9024,1
0.08900000000000001,-0.0262,0.0807,-0.122,18.9024,3.7805,1
0.084,-0.0306,0.071,0.3659,15.9756,2.2561,1
0.0888,-0.0339,0.0701,0.6707,10.9146,2.5,1
0.0892,-0.0332,0.0723,1.4024,6.9512,3.7195,1
0.0935,-0.0281,0.0724,3.1098,8.4756,2.8049,1
0.1005,-0.0251,0.0758,4.0244,10.2439,2.8659,1
0.1007,-0.0241,0.0791,5.2439,15.3049,3.6585,1
0.0952,-0.0258,0.0811,6.7683,21.5244,4.0854,1
0.0928,-0.0283,0.0797,6.9512,23.2927,3.7805,1
0.0934,-0.0291,0.0775,6.5244,20.6707,2.9878,1
0.0894,-0.0291,0.0754,7.0122,15.3049,4.5122,1
0.0851,-0.0278,0.0756,8.4146,9.0854,5.7317,1
0.0803,-0.0244,0.0745,8.3537,2.622,6.4634,1
0.0629,-0.019,0.0681,7.377999999999999,-5.5488,6.2805,1
0.0479,-0.0101,0.0722,7.439,-19.3902,2.0732,1
0.0574,0.0048,0.0883,6.2195,-47.2561,-3.7805,1
0.0816,0.0203,0.0989,0.7317,-84.6341,-4.939,1
0.1068,0.03,0.1076,-7.1341,-114.0854,-2.2561,1
0.1285,0.0242,0.1079,-24.0244,-129.939,1.0366,1
0.1435,0.0074,0.1013,-45.7317,-129.8171,-0.5488,1
0.1562,-0.0115,0.1094,-58.1098,-106.9512,-3.6585,1
0.1632,-0.0259,0.1193,-63.4756,-67.3171,-3.5366,1
0.16,-0.0308,0.1253,-70.9756,-26.9512,-2.9268,1
0.1559,-0.0356,0.1292,-77.439,27.5,-7.5,1
0.1347,-0.0328,0.1262,-79.2683,90.7317,-18.9024,1
0.10300000000000001,-0.0334,0.1147,-84.0854,139.3293,-28.3537,1
0.0889,-0.0402,0.1141,-91.2805,166.2805,-36.5854,1
0.0964,-0.0466,0.1096,-95.6098,168.2317,-38.5366,1
0.1101,-0.057,0.0958,-99.2683,160.9146,-32.8049,1
0.1185,-0.066,0.0815,-93.6585,164.0854,-32.0122,1
0.1144,-0.0686,0.0718,-82.9878,175.3049,-35.4878,1
0.0978,-0.0731,0.0634,-72.1341,179.5122,-37.439,1
0.0685,-0.0746,0.0511,-61.0366,174.1463,-34.6341,1
0.045,-0.0723,0.0387,-48.4756,159.0854,-33.7195,1
0.0208,-0.069,0.0262,-39.6341,131.0976,-36.7073,1
-0.0056,-0.0593,0.0086,-30.8537,93.2317,-41.0366,1
0.0051,-0.0416,0.0074,-19.3902,48.8415,-45.6707,1
0.0294,-0.0327,0.0185,-13.6585,-2.2561,-43.1098,1
0.066,-0.0396,0.0502,-7.7439,-58.1098,-39.6341,1
0.1302,-0.0589,0.0738,-6.0976,-107.9878,-34.7561,1
0.157,-0.0646,0.0884,-15.6098,-129.8171,-17.0732,1
0.1387,-0.0622,0.0927,-11.4024,-100.4268,0.061,1
0.1185,-0.0616,0.0949,-1.2805,-55.122,-0.3049,1
0.1047,-0.0622,0.0893,-0.7317,-34.7561,-2.8659,1
0.0867,-0.0579,0.077,-2.1341,-37.561,-0.4878,1
0.0649,-0.0572,0.0682,1.6463,-55.3049,1.5244,1
0.0636,-0.0588,0.0543,2.6829,-88.8415,0.3049,1
0.079,-0.0484,0.043,2.1951,-123.5976,0.4878,1
0.0912,-0.0432,0.0439,9.0244,-143.1098,10.4878,1
0.0947,-0.0402,0.0496,11.4024,-154.0854,18.1707,1
0.0874,-0.0367,0.0553,7.1951,-157.3781,20.122,1
0.0893,-0.0392,0.059000000000000004,8.7195,-152.7439,17.2561,1
0.1035,-0.0438,0.0585,10.8537,-145.7927,19.5732,1
0.1118,-0.0433,0.0541,9.0854,-140.6098,21.8902,1
0.0994,-0.0409,0.0477,10.4878,-133.4146,18.5366,1
0.0811,-0.0393,0.0405,13.5976,-125.7927,15.3659,1
0.0831,-0.0402,0.0411,15.7317,-121.8902,15.122,1
0.0953,-0.0424,0.0546,14.939,-124.3293,18.7805,1
0.1055,-0.0416,0.0557,12.622,-134.8781,21.1585,1
0.1127,-0.0427,0.0475,14.5122,-144.3293,21.7073,1
0.1232,-0.0483,0.0374,18.4756,-149.6951,20.061,1
0.1304,-0.0485,0.0415,19.5732,-153.4146,15.122,1
0.1286,-0.044000000000000004,0.0505,19.6341,-149.8171,9.5732,1
0.1255,-0.0404,0.0609,22.1341,-129.8781,2.6829,1
0.1287,-0.0377,0.0656,27.5,-95.9146,-2.9268,1
0.1329,-0.0331,0.0591,33.4756,-55.4268,-4.939,1
0.127,-0.0266,0.049,40.3659,-19.2683,-2.0122,1
0.1184,-0.0255,0.0373,46.0366,2.1951,-0.1829,1
0.1085,-0.0292,0.0324,48.7805,12.561,-2.6829,1
0.1048,-0.0327,0.0314,47.9878,12.1951,-3.2927,1
0.1095,-0.0295,0.0392,47.5,11.7683,1.4024,1
0.1212,-0.0264,0.0499,49.6341,14.878,5.3659,1
0.1349,-0.0288,0.0594,49.8171,22.5,4.8171,1
0.1452,-0.033,0.0695,48.7805,37.8049,4.1463,1
0.1495,-0.0364,0.0757,48.9024,62.8659,6.8902,1
0.1446,-0.0414,0.0735,49.8171,96.3415,13.2317,1
0.1329,-0.0406,0.0607,53.9634,134.0244,18.2317,1
0.1203,-0.0421,0.0496,58.5976,169.1463,17.439,1
0.1105,-0.0415,0.0455,58.1098,192.9268,15.4268,1
0.1007,-0.0396,0.0522,56.6463,202.8049,15.9756,1
0.0939,-0.0374,0.0608,53.2927,197.3171,18.2927,1
0.0919,-0.0383,0.0689,52.0732,182.0732,22.378,1
0.0949,-0.0393,0.076,52.6829,159.3293,24.939,1
0.0951,-0.0413,0.0825,51.2805,134.6951,24.939,1
0.091,-0.0433,0.0882,49.0854,114.5122,23.5366,1
0.0877,-0.038,0.0912,50.1829,103.5976,22.0732,1
0.0831,-0.0309,0.0951,52.7439,101.8293,19.8171,1
0.0782,-0.0343,0.095,44.93899999999999,102.8049,15.122,1
0.0786,-0.0361,0.0886,37.439,103.5366,13.5976,1
0.0834,-0.038,0.0829,34.3902,103.2927,14.7561,1
0.0839,-0.0369,0.0814,33.4756,99.5732,14.2683,1
0.0707,-0.0291,0.0864,35.3659,95.1829,13.8415,1
0.057999999999999996,-0.0245,0.0928,35.7927,91.3415,11.1585,1
0.0578,-0.0233,0.1066,33.2927,86.4634,6.5244,1
0.0709,-0.0225,0.1193,29.878,77.561,4.939,1
0.0829,-0.0236,0.1232,24.5122,64.2073,7.2561,1
0.0882,-0.0296,0.1197,19.0244,55.3659,7.8049,1
0.0928,-0.0337,0.1125,17.8659,53.2317,7.0732,1
0.0856,-0.0333,0.1038,16.3415,55.9756,6.1585,1
0.0746,-0.033,0.0997,17.0122,67.1341,2.0122,1
0.0687,-0.03,0.1027,19.2683,78.4146,0.2439,1
0.0672,-0.0258,0.1064,19.878,81.2195,5.2439,1
0.0658,-0.024,0.11199999999999999,17.622,75.061,9.3293,1
0.0692,-0.0245,0.1164,14.2683,66.2805,9.5122,1
0.0728,-0.0245,0.1193,10.7317,56.4634,10.6098,1
0.0691,-0.0244,0.1183,8.1098,48.9634,12.439,1
0.0663,-0.0254,0.1135,8.5976,49.6341,13.0488,1
0.0699,-0.0272,0.106,10.122,52.8659,13.7805,1
0.0773,-0.0296,0.1006,11.4024,54.4512,15.061,1
0.0792,-0.0296,0.1031,15.2439,57.0122,16.1585,1
0.063,-0.0294,0.1019,19.4512,62.56100000000001,17.0732,1
0.0317,-0.0284,0.0952,24.5122,67.8049,17.5,1
0.0182,-0.0266,0.0954,28.7195,62.56100000000001,15.1829,1
0.0369,-0.025,0.1093,26.2805,45.6098,12.1341,1
0.0605,-0.0252,0.1196,17.8659,23.7195,12.8659,1
0.0639,-0.0278,0.1166,12.8049,11.9512,14.4512,1
